OBX,Siste
22.07.19 13:34:55,799.87
22.07.19 13:34:53,799.87
22.07.19 13:34:51,799.87
22.07.19 13:34:50,799.87
22.07.19 13:34:49,799.84
22.07.19 13:34:43,799.84
22.07.19 13:34:39,799.84
22.07.19 13:34:38,799.84
22.07.19 13:34:35,799.84
22.07.19 13:34:35,799.85
22.07.19 13:34:33,799.85
22.07.19 13:34:30,799.85
22.07.19 13:34:29,799.85
22.07.19 13:34:29,799.86
22.07.19 13:34:28,799.85
22.07.19 13:34:25,799.85
22.07.19 13:34:22,799.85
22.07.19 13:34:20,799.85
22.07.19 13:34:19,799.86
22.07.19 13:34:18,799.86
22.07.19 13:34:17,799.85
22.07.19 13:34:17,799.84
22.07.19 13:34:16,799.85
22.07.19 13:34:15,799.86
22.07.19 13:34:13,799.88
22.07.19 13:34:12,799.86
22.07.19 13:34:11,799.87
22.07.19 13:34:11,799.84
22.07.19 13:34:09,799.84
22.07.19 13:34:09,799.89
22.07.19 13:34:08,799.88
22.07.19 13:33:56,799.87
22.07.19 13:33:56,799.86
22.07.19 13:33:56,799.85
22.07.19 13:33:54,799.85
22.07.19 13:33:52,799.87
22.07.19 13:33:50,799.87
22.07.19 13:33:49,799.87
22.07.19 13:33:40,799.86
22.07.19 13:33:39,799.86
22.07.19 13:33:38,799.85
22.07.19 13:33:36,799.84
22.07.19 13:33:35,799.84
22.07.19 13:33:30,799.83
22.07.19 13:33:29,799.82
22.07.19 13:33:29,799.81
22.07.19 13:33:29,799.82
22.07.19 13:33:28,799.81
22.07.19 13:33:27,799.81
22.07.19 13:33:21,799.83
22.07.19 13:33:20,799.80
22.07.19 13:33:20,799.79
22.07.19 13:33:16,799.81
22.07.19 13:33:16,799.84
22.07.19 13:33:15,799.84
22.07.19 13:33:11,799.84
22.07.19 13:33:10,799.85
22.07.19 13:33:10,799.84
22.07.19 13:33:06,799.83
22.07.19 13:33:04,799.83
22.07.19 13:33:02,799.83
22.07.19 13:33:00,799.83
22.07.19 13:32:59,799.83
22.07.19 13:32:58,799.83
22.07.19 13:32:56,799.86
22.07.19 13:32:54,799.87
22.07.19 13:32:53,799.87
22.07.19 13:32:53,799.88
22.07.19 13:32:50,799.89
22.07.19 13:32:50,799.91
22.07.19 13:32:48,799.90
22.07.19 13:32:47,799.90
22.07.19 13:32:37,799.89
22.07.19 13:32:36,799.89
22.07.19 13:32:32,799.90
22.07.19 13:32:30,799.90
22.07.19 13:32:28,799.89
22.07.19 13:32:28,799.90
22.07.19 13:32:27,799.90
22.07.19 13:32:25,799.91
22.07.19 13:32:24,799.91
22.07.19 13:32:24,799.91
22.07.19 13:32:21,799.93
22.07.19 13:32:17,799.89
22.07.19 13:32:16,799.88
22.07.19 13:32:16,799.89
22.07.19 13:32:16,799.88
22.07.19 13:32:12,799.89
